lat,lon,flow,size,address,inservice,notes,dryhydrant,outservicedate
42.13721,-89.28516,1314,,"2010 Silverthorn Dr, Byron, IL 61010, United States",,J09,,
42.13721,-89.28546,1393,,"2016 Silverthorn Dr, Byron, IL 61010, United States",,J19,,
42.13161,-89.25751,1258,,"131 W 6th St, Byron, IL 61010, United States",,E04,,
42.13366,-89.27537,1432,,"1411 Southfield Ln, Byron, IL 61010, United States",,G16,,
42.13392,-89.27867,1469,,"1543 Southfield Ln, Byron, IL 61010, United States",,G17,,
42.13463,-89.27983,1469,,"1637 Southfield Ln, Byron, IL 61010, United States",,G18,,
42.13424,-89.28137,1469,,"1802 Southfield Ln, Byron, IL 61010, United States",,G19,,
42.13423,-89.28287,1469,,"1850 Southfield Ln, Byron, IL 61010, United States",,J04,,
42.13422,-89.28394,1469,,"1918 Southfield Ln, Byron, IL 61010, United States",,J05,,
42.13446,-89.28526,1469,,"2012 Southfield Ln, Byron, IL 61010, United States",,J08,,
42.13533,-89.28553,1529,,"2029 Southfield Ln, Byron, IL 61010, United States",,J11,,
42.13513,-89.28688,1457,,"2118 Southfield Ln, Byron, IL 61010, United States",,J12,,
42.1415,-89.26731,1529,,"8629 Sunset Ct, Byron, IL 61010, United States",,F08,,
42.1435088,-89.2679951,1367,,"8697 Sunset Dr, Byron, IL 61010, United States",,F11,,
42.12784150082829,-89.25292435841578,1314,,"226 E 3rd St, Byron, IL 61010, USA",,A07,,
42.127818624331276,-89.25434861140269,1314,,"229 N Chestnut St, Byron, IL 61010, USA",,A08,,
42.12784150082829,-89.25292435841578,,,"226 E 3rd St, Byron, IL 61010, USA",,H04,,
42.1278452,-89.250945,1354,,"400 E 3rd St, Byron, IL 61010, United States",,H03,,
42.1277145,-89.2562318,1286,,"100 W 3rd St, Byron, IL 61010, United States",,E01,,
42.1276447,-89.2591859,1341,,"300 W 3rd St, Byron, IL 61010, United States",,E02,,
42.14645,-89.27453,1444,,"9088 N Tower Rd, Byron, IL 61010, United States",,F35,,
42.14855,-89.27328,1184,,"9227 N Tower Rd, Byron, IL 61010, United States",,F32,,
42.1254963,-89.2560609,1300,,"100 N Union St, Byron, IL 61010, United States",,A03,,
42.1256674,-89.2557104,1341,,"115 N Union St, Byron, IL 61010, United States",,A04,,
42.12792405507493,-89.25595525460261,,,"103 E 3rd St, Byron, IL 61010, USA",,A06,,
42.128941552195705,-89.25603169755954,1286,,"334 N Union St, Byron, IL 61010, USA",,H19,,
42.13141,-89.25448,1286,,"500 N Union St, Byron, IL 61010, United States",,H20,,
42.13897,-89.26772,1367,,"8540 Valley View Dr, Byron, IL 61010, United States",,F05,,
42.13898,-89.26607,1552,,"8564 Valley View Dr, Byron, IL 61010, United States",,F01,,
42.13941,-89.26666,1564,,"8573 Verde Ct, Byron, IL 61010, United States",,F07,,
42.13975,-89.27099,1564,,"8578 Verde Dr, Byron, IL 61010, United States",,F06,,
42.14117,-89.26681,1675,,"8604 Verde Dr, Byron, IL 61010, United States",,F10,,
42.14262,-89.2667,1469,,"8648 Verde Dr, Byron, IL 61010, United States",,F09,,
42.1288789,-89.2575076,1300,,"399 N Walnut St, Byron, IL 61010, United States",,E03,,
42.12416771903689,-89.25768456097651,1367,,205 W Merchant St Byron IL 61010 United States,,B06,,
42.12729,-89.25859,1258,,"221 N Washington St, Byron, IL 61010, United States",,D19,,
42.1279108,-89.2591714,,,"300 N Washington St, Byron, IL 61010, United States",,E06,,
42.14834,-89.27434,1169,,"3095 E Water Rd, Byron, IL 61010, United States",,F33,,
42.1433243,-89.2626363,1609,,"8459 Wendy Ct, Byron, IL 61010, United States",,F17,,
42.1238355,-89.26287,1314,,"200 S West St, Byron, IL 61010, United States",,B09,,
42.13646,-89.27693,1406,,"1519 Westmont Dr, Byron, IL 61010, United States",,G32,,
42.1388,-89.26345,1653,,"3775 E Whippoorwill Ln, Byron, IL 61010, United States",,F28,,
42.13895,-89.26162,0,,"3867 E Whippoorwill Ln, Byron, IL 61010, United States",,F29,,
42.13896,-89.25999,1717,,"3955 E Whippoorwill Ln, Byron, IL 61010, United States",,F30,,
42.1418387,-89.2589196,1877,,"8412 Winnebago Ln, Byron, IL 61010, United States",,F24,,
42.14156,-89.25943,1738,,"8416 Winnebago Ln, Byron, IL 61010, United States",,F23,,
42.14155,-89.26017,1877,,"8420 Winnebago Ln, Byron, IL 61010, United States",,F22,,
42.14154,-89.26155,1675,,"8434 Winnebago Ln, Byron, IL 61010, United States",,F21,,
42.14153,-89.26211,1587,,"8438 Winnebago Ln, Byron, IL 61010, United States",,F20,,
42.1429,-89.2637,1564,,"8464 Winnebago Ln, Byron, IL 61010, United States",,F18,,
42.141828721645595,-89.2623811882116,1675,,8442 Winnebago Ln Byron IL 61010 United States,,F16,,
42.1434721,-89.2630451,1675,,"8495 Winnebago Ln, Byron, IL 61010, United States",,F14,,
42.1442666,-89.2630451,,,"8625 Winnebago Ln, Byron, IL 61010, United States",,F19,,
42.14466,-89.26292,1444,,"8635 Winnebago Ln, Byron, IL 61010, United States",,F12,,
42.14478,-89.26292,1444,,"8689 Winnebago Ln, Byron, IL 61010, United States",,F13,,
42.08785,-89.30631,1341,,"1546 E Acorn Rd, Byron, IL 61010, United States",,I10.5,,
42.0892,-89.30215,1444,,"1780 E Acorn Rd, Byron, IL 61010, United States",,I11.5,,
42.134184708172334,-89.24840401327248,1169,,721 Birch St Byron IL 61010 United States,,H38,,
42.13409,-89.24809,1327,,"721 Birch St, Byron, IL 61010, United States",,H37,,
42.095074320609726,-89.31321360040984,1564,,200–298 E River View Dr Byron IL 61010 United States,,I34,,
42.14561,-89.27077,1444,,"1551 Brentwood Dr, Byron, IL 61010, United States",,F44,,
42.14805,-89.27087,1341,,"1637 Brentwood Dr, Byron, IL 61010, United States",,F38,,
42.14857,-89.27109,1199,,"1669 Brentwood Dr, Byron, IL 61010, United States",,F37,,
42.13171,-89.26388,1341,,"N Colfax St, Byron, IL 61010, United States",,B11,,
42.1320334,-89.2640249,1367,,"696 N Colfax St, Byron, IL 61010, United States",,E16.1,,
42.1320334,-89.2640249,1314,,"696 N Colfax St, Byron, IL 61010, United States",,E16.2,,
42.1320334,-89.2640249,1314,,"696 N Colfax St, Byron, IL 61010, United States",,E16.3,,
42.1320334,-89.2640249,1393,,"696 N Colfax St, Byron, IL 61010, United States",,E16.4,,
42.13513,-89.26665,1393,,"850 N Colfax St, Byron, IL 61010, United States",,E21,,
42.13513,-89.26665,1169,,"850 N Colfax St, Byron, IL 61010, United States",,E22,,
42.13513,-89.26665,1393,,"850 N Colfax St, Byron, IL 61010, United States",,E23,,
42.13513,-89.26665,1393,,"850 N Colfax St, Byron, IL 61010, United States",,E24,,
42.13513,-89.26665,1393,,"850 N Colfax St, Byron, IL 61010, United States",,E25,,
42.13513,-89.26665,1419,,"850 N Colfax St, Byron, IL 61010, United States",,E26,,
42.13513,-89.26665,1419,,"850 N Colfax St, Byron, IL 61010, United States",,E27,,
42.13513,-89.26665,1393,,"850 N Colfax St, Byron, IL 61010, United States",,E28,,
42.13513,-89.26665,1444,,"850 N Colfax St, Byron, IL 61010, United States",,E29,,
42.12358,-89.26351,1314,,"207 S Colfax St, Byron, IL 61010, United States",,B12,,
42.12284,-89.26348,1229,,"225 S Colfax St, Byron, IL 61010, United States",,B12.5,,
42.12426,-89.26886,1341,,"1008 Crest View Trl, Byron, IL 61010, United States",,C06.5,,
42.08888,-89.31518,0,,"903 N Devils Ln, Byron, IL 61010, United States",,I41,,
42.14717,-89.27402,1393,,"Everett Ln, Byron, IL 61010, United States",,F40,,
42.14694,-89.27165,1341,,"1244 Everett Ln, Byron, IL 61010, United States",,F41,,
42.12765953929776,-89.26014417883155,1341,,320 W 3rd St Byron IL 61010 United States,,B01.5,,
42.11044,-89.28742,1341,,"6596 N Friday Rd, Byron, IL 61010, United States",,I07.5,,
42.11114,-89.28747,1444,,"6640 N Friday Rd, Byron, IL 61010, United States",,I07.2,,
42.11307,-89.2865,1341,,"6749 N Friday Rd, Byron, IL 61010, United States",,I06.5,,
42.13859,-89.2778,1717,,"1120 Glacier Dr, Byron, IL 61010, United States",,F59,,
42.14037,-89.27734,1696,,"1227 Glacier Dr, Byron, IL 61010, United States",,F56,,
42.14217,-89.27736,1779,,"1321 Glacier Dr, Byron, IL 61010, United States",,F58,,
42.14293,-89.27679,1653,,"1339 Glacier Dr, Byron, IL 61010, United States",,F60,,
42.14327,-89.27628,1675,,"1351 Glacier Dr, Byron, IL 61010, United States",,F61,,
42.12578,-89.26691,1393,,"Grant St, Byron, IL 61010, United States",,B13,,
42.13448,-89.24635,1169,,"672 Harvest Dr, Byron, IL 61010, United States",,H39,,
